2021-04-29 08:15:28,115 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 56 |k_down_up = 19 |start=1.00000000 |end=|1.01854477|percent = 1.854%
2021-04-29 08:16:00,348 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 57 |k_down_up = 19 |start=1.00000000 |end=|1.01852093|percent = 1.852%
2021-04-29 08:16:32,587 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 58 |k_down_up = 19 |start=1.00000000 |end=|1.01901433|percent = 1.901%
2021-04-29 08:17:04,689 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 59 |k_down_up = 19 |start=1.00000000 |end=|1.01624920|percent = 1.625%
2021-04-29 08:17:36,766 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 60 |k_down_up = 19 |start=1.00000000 |end=|1.01457926|percent = 1.458%
2021-04-29 08:18:08,855 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 61 |k_down_up = 19 |start=1.00000000 |end=|1.01532774|percent = 1.533%
2021-04-29 08:18:40,870 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 62 |k_down_up = 19 |start=1.00000000 |end=|1.01779774|percent = 1.780%
2021-04-29 08:19:12,838 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 63 |k_down_up = 19 |start=1.00000000 |end=|1.01822079|percent = 1.822%
2021-04-29 08:19:44,714 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 64 |k_down_up = 19 |start=1.00000000 |end=|1.01602945|percent = 1.603%
2021-04-29 08:20:16,770 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 65 |k_down_up = 19 |start=1.00000000 |end=|1.01626015|percent = 1.626%
2021-04-29 08:20:48,633 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 66 |k_down_up = 19 |start=1.00000000 |end=|1.01628353|percent = 1.628%
2021-04-29 08:21:20,473 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 67 |k_down_up = 19 |start=1.00000000 |end=|1.01624917|percent = 1.625%
2021-04-29 08:21:52,372 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 68 |k_down_up = 19 |start=1.00000000 |end=|1.01652510|percent = 1.653%
2021-04-29 08:22:24,107 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 69 |k_down_up = 19 |start=1.00000000 |end=|1.01653216|percent = 1.653%
2021-04-29 08:22:55,749 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 70 |k_down_up = 19 |start=1.00000000 |end=|1.01672196|percent = 1.672%
2021-04-29 08:23:27,394 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 71 |k_down_up = 19 |start=1.00000000 |end=|1.01607796|percent = 1.608%
2021-04-29 08:23:58,930 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 72 |k_down_up = 19 |start=1.00000000 |end=|1.01475190|percent = 1.475%
2021-04-29 08:24:30,568 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 73 |k_down_up = 19 |start=1.00000000 |end=|1.01577331|percent = 1.577%
2021-04-29 08:25:02,230 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 74 |k_down_up = 19 |start=1.00000000 |end=|1.01376653|percent = 1.377%
2021-04-29 08:25:33,812 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 75 |k_down_up = 19 |start=1.00000000 |end=|1.01375836|percent = 1.376%
2021-04-29 08:26:05,258 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 76 |k_down_up = 19 |start=1.00000000 |end=|1.01561790|percent = 1.562%
2021-04-29 08:26:36,694 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 77 |k_down_up = 19 |start=1.00000000 |end=|1.01354523|percent = 1.355%
2021-04-29 08:27:08,066 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 78 |k_down_up = 19 |start=1.00000000 |end=|1.01381764|percent = 1.382%
2021-04-29 08:27:39,429 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 79 |k_down_up = 19 |start=1.00000000 |end=|1.01351119|percent = 1.351%
2021-04-29 08:28:10,735 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 80 |k_down_up = 19 |start=1.00000000 |end=|1.01392276|percent = 1.392%
2021-04-29 08:28:41,975 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 81 |k_down_up = 19 |start=1.00000000 |end=|1.01368361|percent = 1.368%
2021-04-29 08:29:13,141 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 82 |k_down_up = 19 |start=1.00000000 |end=|1.01041695|percent = 1.042%
